----------------------------------------
Begin Torque Prologue on nid25257
at Sat Nov 17 21:06:57 CST 2018
Job Id:			9232114.bw
Username:		traXXX
Group:			TRAIN_bauh
Job name:		mp9-part2
Requested resources:	nodes=1:ppn=16:xk,walltime=10:00:00,neednodes=1:ppn=16:xk
Queue:			normal
Account:		bauh
End Torque Prologue:  0.292 elapsed
----------------------------------------




>>>    Batch: 2048 | Accuracy: 43.75
>>>    Batch: 2064 | Accuracy: 18.75
>>>    Batch: 2080 | Accuracy: 18.75
>>>    Batch: 2096 | Accuracy: 31.25
>>>    Batch: 2112 | Accuracy: 31.25
>>>    Batch: 2128 | Accuracy: 25.0
>>>    Batch: 2144 | Accuracy: 43.75
>>>    Batch: 2160 | Accuracy: 37.5
>>>    Batch: 2176 | Accuracy: 18.75
>>>    Batch: 2192 | Accuracy: 18.75
>>>    Batch: 2208 | Accuracy: 56.25
>>>    Batch: 2224 | Accuracy: 56.25
>>>    Batch: 2240 | Accuracy: 6.25
>>>    Batch: 2256 | Accuracy: 25.0
>>>    Batch: 2272 | Accuracy: 68.75
>>>    Batch: 2288 | Accuracy: 50.0
>>>    Batch: 2304 | Accuracy: 12.5
>>>    Batch: 2320 | Accuracy: 50.0
>>>    Batch: 2336 | Accuracy: 43.75
>>>    Batch: 2352 | Accuracy: 37.5
>>>    Batch: 2368 | Accuracy: 37.5
>>>    Batch: 2384 | Accuracy: 31.25
>>>    Batch: 2400 | Accuracy: 43.75
>>>    Batch: 2416 | Accuracy: 43.75
>>>    Batch: 2432 | Accuracy: 37.5
>>>    Batch: 2448 | Accuracy: 12.5
>>>    Batch: 2464 | Accuracy: 25.0
>>>    Batch: 2480 | Accuracy: 50.0
>>>    Batch: 2496 | Accuracy: 56.25
>>>    Batch: 2512 | Accuracy: 62.5
>>>    Batch: 2528 | Accuracy: 37.5
>>>    Batch: 2544 | Accuracy: 37.5
>>>    Batch: 2560 | Accuracy: 31.25
>>>    Batch: 2576 | Accuracy: 25.0
>>>    Batch: 2592 | Accuracy: 56.25
>>>    Batch: 2608 | Accuracy: 43.75
>>>    Batch: 2624 | Accuracy: 18.75
>>>    Batch: 2640 | Accuracy: 37.5
>>>    Batch: 2656 | Accuracy: 37.5
>>>    Batch: 2672 | Accuracy: 56.25
>>>    Batch: 2688 | Accuracy: 37.5
>>>    Batch: 2704 | Accuracy: 56.25
>>>    Batch: 2720 | Accuracy: 50.0
>>>    Batch: 2736 | Accuracy: 25.0
>>>    Batch: 2752 | Accuracy: 43.75
>>>    Batch: 2768 | Accuracy: 56.25
>>>    Batch: 2784 | Accuracy: 68.75
>>>    Batch: 2800 | Accuracy: 25.0
>>>    Batch: 2816 | Accuracy: 31.25
>>>    Batch: 2832 | Accuracy: 50.0
>>>    Batch: 2848 | Accuracy: 31.25
>>>    Batch: 2864 | Accuracy: 37.5
>>>    Batch: 2880 | Accuracy: 50.0
>>>    Batch: 2896 | Accuracy: 50.0
>>>    Batch: 2912 | Accuracy: 43.75
>>>    Batch: 2928 | Accuracy: 25.0
>>>    Batch: 2944 | Accuracy: 56.25
>>>    Batch: 2960 | Accuracy: 31.25
>>>    Batch: 2976 | Accuracy: 25.0
>>>    Batch: 2992 | Accuracy: 56.25
>>>    Batch: 3008 | Accuracy: 31.25
>>>    Batch: 3024 | Accuracy: 68.75
>>>    Batch: 3040 | Accuracy: 56.25
>>>    Batch: 3056 | Accuracy: 43.75
>>>    Batch: 3072 | Accuracy: 56.25
>>>    Batch: 3088 | Accuracy: 68.75
>>>    Batch: 3104 | Accuracy: 56.25
>>>    Batch: 3120 | Accuracy: 37.5
>>>    Batch: 3136 | Accuracy: 37.5
>>>    Batch: 3152 | Accuracy: 43.75
>>>    Batch: 3168 | Accuracy: 43.75
>>>    Batch: 3184 | Accuracy: 56.25
>>>    Batch: 3200 | Accuracy: 31.25
>>>    Batch: 3216 | Accuracy: 18.75
>>>    Batch: 3232 | Accuracy: 43.75
>>>    Batch: 3248 | Accuracy: 43.75
>>>    Batch: 3264 | Accuracy: 31.25
>>>    Batch: 3280 | Accuracy: 50.0
>>>    Batch: 3296 | Accuracy: 56.25
